d03,v05,d08,d9,d10,d11,d12,d13,d14,d16,D16_1,Q15_new,Q16_new,np
Gaza strip,City,Male,41,yes,BA\ BSc,Employee,Public sector,Married,8,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Others,Old
Gaza strip,City,Male,34,no,Secondary,Worker,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,Others,Old
Gaza strip,camp,Male,35,yes,BA\ BSc,Employee,Public sector,Married,6,Family income does not cover our expenses we face some difficulties in covering,Others,Others,Old
Gaza strip,City,Female,37,yes,BA\ BSc,Housewife,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Others,Old
Gaza strip,City,Male,33,yes,BA\ BSc,Employee,Public sector,Married,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Others,Old
Gaza strip,City,Female,29,yes,Secondary,Housewife,Unemployed,Married,12,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Others,New
Gaza strip,City,Female,31,yes,Associatte Diploma,Housewife,Private and NGos,Married,8,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Others,New
Gaza strip,City,Female,34,no,Secondary,Worker,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,Others,Old
Gaza strip,City,Male,39,yes,Associatte Diploma,trader,Private and NGos,Married,8,The family income covers the expenses of our needs without facing any difficulties,Others,Others,Old
West Bank,City,Female,50,no,Preparatory,Housewife,Unemployed,Married,3,The family income covers our needs well and we can save,Hamas,I will not participate in the elections,Old
West Bank,City,Male,53,no,Preparatory,trader,Private and NGos,Married,1,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,27,no,BA\ BSc,Housewife,Unemployed,Married,2,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Female,53,yes,Elementary,Housewife,Unemployed,Married,3,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,42,no,BA\ BSc,Employee,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,52,yes,Associatte Diploma,Housewife,Unemployed,Other,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,camp,Male,56,yes,Preparatory,unemployed,Unemployed,Married,14,Family income does not cover the expenses of our needs and we face great difficulties in covering,None of the above / No opinion / I do not know / I do not remember,I will not participate in the elections,Old
West Bank,village,Female,50,no,Elementary,Farmer,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,32,no,Secondary,Worker,Private and NGos,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,26,no,Secondary,Housewife,Unemployed,Single,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,camp,Female,25,yes,BA\ BSc,Housewife,Unemployed,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,55,yes,Elementary,Worker,Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,45,yes,Preparatory,Housewife,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Male,26,no,Secondary,trader,Private and NGos,Married,4,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,50,yes,BA\ BSc,"Professional, craftsman, specialist",Private and NGos,Married,4,Family income does not cover our expenses we face some difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,City,Male,62,no,Preparatory,trader,Private and NGos,Married,7,The family income covers our needs well and we can save,Fateh,I will not participate in the elections,Old
West Bank,City,Male,22,no,Secondary,Student,Unemployed,Single,7,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,24,no,Preparatory,Employee,Private and NGos,Single,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,68,no,Illiterate,Housewife,Unemployed,Other,1,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,36,no,Secondary,Housewife,Unemployed,Married,7,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,38,no,Elementary,Worker,Private and NGos,Married,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,53,no,Secondary,Housewife,Unemployed,Married,4,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,85,yes,Illiterate,unemployed,Unemployed,Married,2,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,22,no,Secondary,Worker,Private and NGos,Single,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,55,no,Master Degree and Above,retired,Unemployed,Married,2,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,80,no,Secondary,Housewife,Unemployed,Other,9,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,49,no,Master Degree and Above,Employee,Public sector,Married,3,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,70,yes,Preparatory,Housewife,Unemployed,Married,2,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,76,yes,Associatte Diploma,retired,Unemployed,Married,7,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,41,yes,Illiterate,unemployed,Unemployed,Married,9,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,18,no,Secondary,Student,Unemployed,Single,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,47,no,Preparatory,Housewife,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Female,54,yes,Secondary,Housewife,Unemployed,Married,8,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,35,yes,Secondary,Housewife,Unemployed,Married,6,The family income covers the expenses of our needs without facing any difficulties,None of the above / No opinion / I do not know / I do not remember,I will not participate in the elections,Old
West Bank,City,Female,28,no,BA\ BSc,Housewife,Unemployed,Married,5,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,42,no,Secondary,Worker,Private and NGos,Married,8,Family income does not cover our expenses we face some difficulties in covering,Hamas,I will not participate in the elections,Old
West Bank,City,Male,44,no,BA\ BSc,Employee,Public sector,Married,7,Family income does not cover the expenses of our needs and we face great difficulties in covering,Hamas,I will not participate in the elections,Old
West Bank,City,Female,34,no,Associatte Diploma,Housewife,Unemployed,Married,7,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,42,no,Secondary,Housewife,Unemployed,Married,5,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,34,no,Elementary,Housewife,Unemployed,Married,8,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,not decided,Old
West Bank,City,Female,55,yes,BA\ BSc,Housewife,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,Fateh,not decided,Old
West Bank,City,Female,52,yes,Secondary,Employee,Unemployed,Married,9,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,Old
West Bank,camp,Male,51,yes,Preparatory,Worker,Private and NGos,Married,6,The family income covers the expenses of our needs without facing any difficulties,Fateh,not decided,Old
West Bank,City,Male,52,no,Associatte Diploma,Employee,Public sector,Married,7,The family income covers the expenses of our needs without facing any difficulties,None of the above / No opinion / I do not know / I do not remember,not decided,Old
West Bank,City,Male,20,yes,Preparatory,Worker,Private and NGos,Single,7,The family income covers our needs well and we can save,I did not participate in the elections,not decided,New
West Bank,camp,Female,25,yes,Illiterate,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,New
West Bank,village,Female,80,no,Illiterate,Housewife,Unemployed,Other,5,Family income does not cover our expenses we face some difficulties in covering,Fateh,not decided,Old
West Bank,City,Female,72,yes,Illiterate,Housewife,Unemployed,Other,1,Family income does not cover the expenses of our needs and we face great difficulties in covering,Fateh,not decided,Old
West Bank,City,Female,20,no,Preparatory,Housewife,Unemployed,Married,4,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,Fateh,New
West Bank,City,Female,37,no,BA\ BSc,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,village,Female,19,no,Secondary,Housewife,Unemployed,Married,2,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Fateh,New
West Bank,City,Male,72,yes,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,2,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,village,Male,60,no,Secondary,Farmer,Private and NGos,Married,6,The family income covers the expenses of our needs without facing any difficulties,Fateh,Fateh,Old
West Bank,City,Female,29,yes,BA\ BSc,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,Fateh,New
West Bank,City,Male,72,no,Preparatory,Worker,Private and NGos,Married,7,Family income does not cover our expenses we face some difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,City,Female,38,no,Associatte Diploma,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,56,no,Associatte Diploma,Housewife,Unemployed,Married,2,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Female,27,no,BA\ BSc,Housewife,Unemployed,Married,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Female,49,no,Secondary,Housewife,Unemployed,Married,7,Family income does not cover our expenses we face some difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,village,Female,46,no,Elementary,Housewife,Unemployed,Other,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,55,no,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,City,Female,64,no,BA\ BSc,retired,Private and NGos,Single,2,The family income covers the expenses of our needs without facing any difficulties,None of the above / No opinion / I do not know / I do not remember,I will not participate in the elections,Old
West Bank,City,Male,60,no,Secondary,unemployed,Unemployed,Married,3,The family income covers the expenses of our needs without facing any difficulties,None of the above / No opinion / I do not know / I do not remember,I will not participate in the elections,Old
West Bank,City,Male,35,no,BA\ BSc,Employee,Private and NGos,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,48,yes,Secondary,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,60,no,Secondary,Housewife,Unemployed,Married,3,Family income does not cover our expenses we face some difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,City,Male,75,no,Preparatory,Worker,Private and NGos,Married,2,The family income covers the expenses of our needs without facing any difficulties,Hamas,I will not participate in the elections,Old
West Bank,village,Male,60,no,Preparatory,"Professional, craftsman, specialist",Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,Others,I will not participate in the elections,Old
West Bank,City,Male,49,no,Master Degree and Above,Employee,Public sector,Married,5,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,65,no,Secondary,Housewife,Unemployed,Married,2,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,35,yes,Preparatory,Housewife,Unemployed,Married,11,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,65,yes,Illiterate,Housewife,Unemployed,Married,2,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Female,60,yes,Preparatory,Housewife,Unemployed,Married,6,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,19,no,Secondary,Student,Unemployed,Single,6,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Female,19,no,Secondary,Student,Unemployed,Single,8,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,69,no,Illiterate,Housewife,Unemployed,Married,2,Family income does not cover the expenses of our needs and we face great difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,City,Female,38,no,BA\ BSc,Employee,Private and NGos,Single,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,21,no,Secondary,Student,Unemployed,Single,7,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,21,no,Secondary,Student,Unemployed,Single,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,49,no,Secondary,trader,Private and NGos,Married,3,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,Old
West Bank,City,Male,32,no,Secondary,Employee,Private and NGos,Married,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,not decided,New
West Bank,City,Male,22,no,Secondary,Student,Unemployed,Single,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,not decided,New
West Bank,village,Male,25,yes,BA\ BSc,"Professional, craftsman, specialist",Private and NGos,Single,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,New
West Bank,City,Female,28,no,BA\ BSc,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,New
West Bank,City,Male,20,yes,Associatte Diploma,trader,Private and NGos,Single,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Fateh,New
West Bank,City,Male,44,no,Secondary,Worker,Private and NGos,Married,3,Family income does not cover the expenses of our needs and we face great difficulties in covering,Fateh,Fateh,Old
West Bank,City,Female,75,no,Elementary,Housewife,Unemployed,Married,3,The family income covers the expenses of our needs without facing any difficulties,Fateh,Fateh,Old
West Bank,village,Male,50,yes,Elementary,trader,Private and NGos,Married,7,The family income covers the expenses of our needs without facing any difficulties,Fateh,Fateh,Old
West Bank,village,Female,39,no,Secondary,Housewife,Unemployed,Married,7,The family income covers the expenses of our needs without facing any difficulties,Fateh,Fateh,Old
West Bank,City,Male,47,yes,Preparatory,Worker,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,village,Male,40,no,Elementary,Farmer,Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,53,yes,Secondary,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,I will not participate in the elections,Old
West Bank,City,Female,37,no,BA\ BSc,Housewife,Unemployed,Married,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Male,26,no,Preparatory,Worker,Private and NGos,Married,4,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Female,45,no,Preparatory,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Male,43,no,BA\ BSc,unemployed,Unemployed,Other,4,Family income does not cover the expenses of our needs and we face great difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,village,Female,25,no,Associatte Diploma,Housewife,Unemployed,Single,9,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,22,no,BA\ BSc,Housewife,Unemployed,Single,3,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Female,22,yes,Secondary,Housewife,Unemployed,Single,8,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Male,29,yes,Secondary,Worker,Private and NGos,Single,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,camp,Male,51,yes,Preparatory,Employee,Private and NGos,Married,2,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,26,no,Secondary,trader,Private and NGos,Married,5,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Female,28,no,Master Degree and Above,Employee,Private and NGos,Married,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,60,no,Preparatory,retired,Unemployed,Married,2,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,35,no,BA\ BSc,Employee,Private and NGos,Married,2,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Female,37,yes,BA\ BSc,"Professional, craftsman, specialist",Private and NGos,Married,4,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Female,47,no,BA\ BSc,Employee,Public sector,Married,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,50,no,Secondary,trader,Private and NGos,Married,1,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,26,no,Preparatory,Housewife,Unemployed,Married,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Male,35,yes,BA\ BSc,Employee,Public sector,Married,3,The family income covers the expenses of our needs without facing any difficulties,None of the above / No opinion / I do not know / I do not remember,I will not participate in the elections,Old
West Bank,village,Female,46,yes,Preparatory,Housewife,Unemployed,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,camp,Male,70,yes,Preparatory,Worker,Private and NGos,Married,3,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Male,45,no,Associatte Diploma,Employee,Public sector,Married,7,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Female,30,yes,BA\ BSc,Housewife,Unemployed,Married,5,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,55,yes,Secondary,unemployed,Unemployed,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,38,no,Secondary,"Professional, craftsman, specialist",Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,70,no,Illiterate,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,City,Female,24,no,BA\ BSc,Employee,Private and NGos,Single,9,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,47,no,Secondary,Employee,Private and NGos,Single,8,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,60,no,Elementary,Housewife,Unemployed,Other,3,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,camp,Female,52,yes,Elementary,Housewife,Unemployed,Other,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,19,no,Secondary,Student,Unemployed,Single,13,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,30,no,Associatte Diploma,Employee,Private and NGos,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,63,no,Illiterate,unemployed,Unemployed,Married,2,Family income does not cover our expenses we face some difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,City,Male,30,no,BA\ BSc,trader,Private and NGos,Married,4,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,80,no,Illiterate,unemployed,Unemployed,Other,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,I will not participate in the elections,Old
West Bank,City,Female,55,no,Associatte Diploma,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,Fateh,not decided,Old
West Bank,City,Female,33,yes,Preparatory,Housewife,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,not decided,Old
West Bank,City,Female,37,yes,BA\ BSc,Housewife,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,not decided,Old
West Bank,City,Male,59,yes,Secondary,Worker,Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,not decided,Old
West Bank,City,Male,65,yes,Secondary,unemployed,Unemployed,Other,3,Family income does not cover the expenses of our needs and we face great difficulties in covering,None of the above / No opinion / I do not know / I do not remember,not decided,Old
West Bank,camp,Male,53,yes,Preparatory,"Professional, craftsman, specialist",Private and NGos,Married,4,Family income does not cover our expenses we face some difficulties in covering,Hamas,not decided,Old
West Bank,village,Female,58,no,Secondary,Housewife,Unemployed,Married,5,The family income covers the expenses of our needs without facing any difficulties,Fateh,Fateh,Old
West Bank,City,Male,40,no,Preparatory,"Professional, craftsman, specialist",Private and NGos,Married,7,The family income covers the expenses of our needs without facing any difficulties,Fateh,Fateh,Old
West Bank,City,Male,60,yes,Elementary,Worker,Private and NGos,Married,2,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,village,Male,27,no,BA\ BSc,trader,Private and NGos,Single,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,Fateh,New
West Bank,village,Female,53,no,Preparatory,Housewife,Unemployed,Other,5,The family income covers our needs well and we can save,Fateh,Fateh,Old
West Bank,City,Female,50,no,Secondary,Housewife,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,Fateh,Fateh,Old
West Bank,City,Female,43,no,Preparatory,Housewife,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,Hamas,Hamas,Old
West Bank,City,Male,70,no,Associatte Diploma,retired,Unemployed,Married,4,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,46,no,Elementary,Housewife,Unemployed,Married,5,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,65,no,Secondary,Housewife,Unemployed,Other,2,Family income does not cover our expenses we face some difficulties in covering,None of the above / No opinion / I do not know / I do not remember,I will not participate in the elections,Old
West Bank,City,Female,40,no,BA\ BSc,trader,Private and NGos,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,38,no,Associatte Diploma,trader,Private and NGos,Married,5,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Female,60,no,Elementary,Housewife,Unemployed,Married,3,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,34,no,BA\ BSc,trader,Private and NGos,Single,6,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,56,yes,Secondary,Housewife,Unemployed,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,60,no,Elementary,unemployed,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,71,no,Elementary,unemployed,Unemployed,Married,3,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,57,no,Associatte Diploma,Worker,Private and NGos,Married,3,The family income covers the expenses of our needs without facing any difficulties,Fateh,I will not participate in the elections,Old
West Bank,village,Female,21,no,Secondary,Student,Unemployed,Single,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Male,31,yes,Secondary,Worker,Private and NGos,Married,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Female,46,yes,BA\ BSc,retired,Public sector,Married,7,Family income does not cover our expenses we face some difficulties in covering,Fateh,I will not participate in the elections,Old
West Bank,City,Male,78,yes,Elementary,retired,Private and NGos,Married,2,Family income does not cover our expenses we face some difficulties in covering,Hamas,I will not participate in the elections,Old
West Bank,City,Male,44,no,Master Degree and Above,Employee,Private and NGos,Married,6,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,50,no,BA\ BSc,Employee,Unemployed,Married,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,51,no,Preparatory,Housewife,Unemployed,Married,3,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Male,28,no,Preparatory,Employee,Private and NGos,Single,6,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Female,52,yes,Secondary,Housewife,Unemployed,Married,4,Family income does not cover the expenses of our needs and we face great difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,60,yes,BA\ BSc,Housewife,Unemployed,Other,2,Family income does not cover our expenses we face some difficulties in covering,I did not participate in the elections,I will not participate in the elections,Old
West Bank,City,Female,25,yes,Secondary,Housewife,Unemployed,Married,2,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,City,Male,29,yes,Secondary,trader,Public sector,Married,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
West Bank,village,Female,50,no,Elementary,Housewife,Unemployed,Married,5,The family income covers our needs well and we can save,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Female,47,no,Secondary,Housewife,Unemployed,Married,4,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Female,47,no,Secondary,Farmer,Private and NGos,Single,3,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,Old
West Bank,village,Male,19,no,Secondary,Worker,Private and NGos,Single,6,The family income covers the expenses of our needs without facing any difficulties,I did not participate in the elections,I will not participate in the elections,New
